member_id,join_date,age,plan,monthly_fee_inr,signup_source,status,cancel_date
M2000,31-07-2025,25,Monthly,1500,Walk-in,Active,
M2001,12-04-2026,29,Quarterly,1200,Instagram,Active,
M2002,29-05-2025,25,Quarterly,1200,Instagram,Active,
M2003,14-01-2026,34,Annual,1000,Instagram,Active,
M2004,23-02-2026,34,Monthly,1500,Instagram,Cancelled,21-03-2026
M2005,27-01-2025,35,Monthly,1500,Walk-in,Cancelled,20-06-2025
M2006,14-01-2026,20,Monthly,1500,Google,Active,
M2007,15-07-2025,28,Monthly,1500,Referral,Cancelled,14-08-2025
M2008,19-12-2025,24,Annual,1000,Walk-in,Active,
M2009,23-02-2026,33,Monthly,1500,Google,Cancelled,30-06-2026
M2010,27-01-2025,36,Monthly,1500,Walk-in,Cancelled,25-02-2025
M2011,20-01-2025,30,Quarterly,1200,Instagram,Cancelled,04-03-2025
M2012,26-09-2025,32,Monthly,1500,Referral,Active,
M2013,08-03-2026,34,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2014,30-10-2025,37,Quarterly,1200,Instagram,Cancelled,18-06-2026
M2015,25-10-2025,29,Annual,1000,Walk-in,Active,
M2016,23-01-2025,32,Annual,1000,Instagram,Active,
M2017,08-08-2025,33,Monthly,1500,Instagram,Active,
M2018,01-03-2025,28,Monthly,1500,Instagram,Cancelled,10-07-2025
M2019,11-03-2026,24,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2020,25-01-2026,29,Quarterly,1200,Walk-in,Cancelled,28-05-2026
M2021,17-01-2026,19,Monthly,1500,Google,Cancelled,30-06-2026
M2022,02-05-2025,20,Monthly,1500,Walk-in,Cancelled,14-09-2025
M2023,12-06-2025,26,Annual,1000,Instagram,Active,
M2024,05-03-2026,29,Monthly,1500,Instagram,Cancelled,15-05-2026
M2025,25-05-2025,29,Monthly,1500,Walk-in,Cancelled,08-05-2026
M2026,16-10-2025,48,Annual,1000,Referral,Active,
M2027,01-09-2025,32,Monthly,1500,Google,Active,
M2028,25-01-2026,29,Monthly,1500,Google,Cancelled,24-04-2026
M2029,15-08-2025,26,Monthly,1500,Google,Cancelled,11-12-2025
M2030,09-01-2025,22,Monthly,1500,Referral,Cancelled,30-04-2025
M2031,24-07-2025,38,Quarterly,1200,Instagram,Active,
M2032,27-01-2026,27,Annual,1000,Referral,Active,
M2033,04-01-2026,27,Monthly,1500,Instagram,Cancelled,30-06-2026
M2034,17-09-2025,22,Quarterly,1200,Walk-in,Active,
M2035,10-01-2026,31,Quarterly,1200,Walk-in,Active,
M2036,17-04-2025,32,Quarterly,1200,Walk-in,Active,
M2037,04-01-2026,34,Monthly,1500,Instagram,Cancelled,15-03-2026
M2038,03-12-2025,21,Quarterly,1200,Instagram,Active,
M2039,21-09-2025,41,Quarterly,1200,Instagram,Active,
M2040,07-01-2025,23,Monthly,1500,Walk-in,Cancelled,13-05-2025
M2041,16-03-2026,32,Monthly,1500,Referral,Active,
M2042,12-04-2026,28,Monthly,1500,Referral,Active,
M2043,03-09-2025,34,Annual,1000,Instagram,Active,
M2044,15-01-2026,33,Monthly,1500,Walk-in,Cancelled,30-06-2026
M2045,24-07-2025,40,Monthly,1500,Walk-in,Active,
M2046,27-01-2026,35,Quarterly,1200,Google,Cancelled,30-06-2026
M2047,29-03-2025,35,Annual,1000,Instagram,Active,
M2048,17-02-2025,17,Quarterly,1200,Walk-in,Active,
M2049,26-02-2025,27,Monthly,1500,Referral,Active,
M2050,06-10-2025,31,Quarterly,1200,Referral,Active,
M2051,08-01-2025,28,Annual,1000,Referral,Active,
M2052,12-07-2025,23,Annual,1000,Walk-in,Active,
M2053,21-06-2025,25,Monthly,1500,Referral,Active,
M2054,24-03-2026,17,Monthly,1500,Google,Active,
M2055,18-02-2025,39,Quarterly,1200,Instagram,Cancelled,29-04-2025
M2056,03-01-2026,43,Quarterly,1200,Referral,Active,
M2057,04-02-2026,31,Monthly,1500,Referral,Active,
M2058,04-03-2025,21,Quarterly,1200,Google,Active,
M2059,24-09-2025,33,Monthly,1500,Instagram,Active,
M2060,13-09-2025,27,Annual,1000,Referral,Active,
M2061,05-01-2025,28,Quarterly,1200,Instagram,Active,
M2062,20-05-2025,38,Monthly,1500,Walk-in,Active,
M2063,01-06-2025,25,Monthly,1500,Google,Cancelled,01-11-2025
M2064,28-01-2026,29,Quarterly,1200,Referral,Active,
M2065,09-01-2026,33,Annual,1000,Instagram,Cancelled,08-04-2026
M2066,02-02-2025,18,Quarterly,1200,Referral,Cancelled,01-03-2025
M2067,12-01-2026,36,Monthly,1500,Walk-in,Cancelled,07-04-2026
M2068,18-07-2025,30,Quarterly,1200,Instagram,Cancelled,05-01-2026
M2069,27-02-2025,28,Quarterly,1200,Referral,Cancelled,13-06-2026
M2070,12-04-2025,30,Monthly,1500,Google,Active,
M2071,23-01-2025,23,Annual,1000,Referral,Active,
M2072,20-04-2026,36,Annual,1000,Instagram,Active,
M2073,03-07-2025,35,Monthly,1500,Walk-in,Cancelled,18-08-2025
M2074,19-04-2026,33,Quarterly,1200,Google,Cancelled,30-06-2026
M2075,04-03-2025,22,Quarterly,1200,Google,Cancelled,04-08-2025
M2076,27-07-2025,26,Monthly,1500,Google,Cancelled,23-09-2025
M2077,14-02-2025,33,Annual,1000,Instagram,Active,
M2078,15-12-2025,31,Monthly,1500,Walk-in,Cancelled,21-01-2026
M2079,02-12-2025,34,Monthly,1500,Instagram,Cancelled,19-02-2026
M2080,28-02-2026,32,Monthly,1500,Google,Cancelled,19-04-2026
M2081,24-12-2025,28,Monthly,1500,Instagram,Cancelled,15-02-2026
M2082,11-10-2025,40,Monthly,1500,Instagram,Cancelled,25-04-2026
M2083,13-01-2025,26,Monthly,1500,Google,Cancelled,06-05-2025
M2084,12-01-2025,36,Monthly,1500,Walk-in,Cancelled,18-03-2025
M2085,09-08-2025,38,Annual,1000,Google,Active,
M2086,12-03-2025,30,Monthly,1500,Instagram,Cancelled,29-05-2025
M2087,16-06-2025,34,Quarterly,1200,Walk-in,Cancelled,09-11-2025
M2088,22-10-2025,21,Quarterly,1200,Walk-in,Active,
M2089,03-06-2025,33,Monthly,1500,Walk-in,Active,
M2090,22-01-2026,29,Annual,1000,Instagram,Active,
M2091,24-10-2025,27,Monthly,1500,Instagram,Cancelled,20-12-2025
M2092,31-07-2025,35,Annual,1000,Referral,Active,
M2093,12-09-2025,44,Monthly,1500,Google,Active,
M2094,20-01-2026,24,Quarterly,1200,Referral,Active,
M2095,24-11-2025,29,Annual,1000,Instagram,Active,
M2096,19-01-2026,29,Annual,1000,Google,Active,
M2097,26-11-2025,27,Quarterly,1200,Referral,Active,
M2098,10-02-2026,45,Monthly,1500,Walk-in,Active,
M2099,06-10-2025,26,Annual,1000,Referral,Active,
M2100,11-05-2025,42,Quarterly,1200,Google,Active,
M2101,17-06-2025,32,Quarterly,1200,Instagram,Active,
M2102,01-04-2025,25,Monthly,1500,Walk-in,Active,
M2103,21-01-2025,40,Quarterly,1200,Instagram,Cancelled,30-06-2026
M2104,21-03-2025,37,Monthly,1500,Referral,Cancelled,12-07-2025
M2105,22-01-2025,34,Quarterly,1200,Instagram,Cancelled,29-06-2025
M2106,15-04-2025,32,Quarterly,1200,Walk-in,Active,
M2107,20-09-2025,32,Monthly,1500,Referral,Active,
