member_id,visit_date,checkin_hour
M2769,16-05-2026,8
M2048,13-04-2026,21
M2537,28-11-2025,6
M2523,29-12-2025,9
M3078,16-04-2026,9
M2186,24-04-2026,18
M2493,24-05-2026,19
M3162,02-10-2025,6
M2452,10-04-2025,20
M2246,11-08-2025,10
M2051,17-02-2026,9
M2071,23-12-2025,19
M2167,27-07-2025,6
M3151,19-01-2026,19
M2777,13-09-2025,9
M2160,10-09-2025,17
M2614,17-05-2026,19
M2974,30-08-2025,6
M2198,26-04-2026,20
M2709,01-03-2026,18
M2366,18-11-2025,19
M2455,01-06-2026,6
M2007,04-08-2025,20
M2219,15-08-2025,6
M2069,05-02-2026,18
M2936,24-02-2026,18
M2907,29-04-2026,9
M2736,13-10-2025,19
M2244,25-03-2025,18
M2158,25-04-2026,17
M2209,25-02-2026,18
M2894,28-09-2025,20
M2300,21-03-2026,19
M2869,15-04-2026,9
M2119,20-11-2025,18
M2893,14-10-2025,19
M2121,24-03-2026,17
M2247,21-04-2026,9
M2573,22-07-2025,20
M2377,23-04-2025,19
M2280,21-06-2026,6
M2805,25-10-2025,8
M2659,04-06-2026,18
M2483,20-03-2026,8
M2421,29-05-2026,9
M2708,31-05-2025,8
M2743,18-02-2026,8
M2708,18-03-2025,8
M2592,23-02-2026,20
M2925,17-02-2026,19
M2907,11-06-2026,20
M2740,26-12-2025,20
M2669,22-06-2026,9
M2152,13-05-2025,7
M2446,16-01-2026,8
M2257,13-01-2026,10
M3177,29-01-2025,20
M2262,20-03-2026,6
M2898,15-10-2025,6
M2051,21-02-2025,19
M2692,23-09-2025,18
M2336,24-04-2026,20
M2612,07-02-2026,20
M2184,02-03-2025,18
M2514,07-05-2026,8
M2395,14-08-2025,8
M2485,28-02-2026,19
M3074,22-05-2026,8
M2554,01-02-2026,19
M2092,17-09-2025,18
M2448,04-12-2025,20
M2910,28-01-2026,19
M3101,24-03-2026,18
M2146,08-03-2026,18
M2127,21-06-2026,18
M2500,10-09-2025,21
M2401,14-09-2025,18
M2572,09-03-2026,19
M2436,27-12-2025,6
M2897,05-04-2026,21
M2666,18-03-2026,8
M2702,08-07-2025,8
M2947,31-05-2026,21
M2964,25-02-2026,18
M2591,26-10-2025,8
M2478,12-12-2025,9
M2202,07-11-2025,19
M2816,18-04-2026,20
M2985,22-03-2026,18
M2971,29-03-2025,10
M2950,22-07-2025,21
M2634,28-03-2025,6
M2788,17-09-2025,8
M2363,12-06-2026,7
M3053,16-03-2026,8
M2106,23-10-2025,18
M2947,30-03-2026,20
M2207,02-10-2025,18
M3048,23-09-2025,19
M3016,25-11-2025,18
M2824,27-06-2026,19
M2831,12-05-2025,7
M2101,12-10-2025,7
M2470,23-02-2026,19
M2282,24-04-2026,9
M2295,25-10-2025,6
M2614,13-03-2026,19
M2362,22-05-2026,8
M2265,16-12-2025,17
M2230,13-04-2025,20
M2272,11-03-2026,7
M2999,31-05-2026,17
M2128,17-10-2025,18
M2504,10-04-2025,17
M2071,06-02-2026,18
M2833,02-05-2026,7
M2045,31-08-2025,18
M2853,01-06-2026,7
M2500,26-05-2026,8
M2416,08-11-2025,18
M2973,06-05-2026,20
M3132,26-02-2026,6
M2752,27-04-2026,6
M2861,08-03-2025,18
M2500,24-09-2025,17
M2532,24-12-2025,19
M2740,21-08-2025,18
M3018,12-06-2025,20
M2900,09-04-2026,19
M2498,12-06-2026,19
M2054,03-06-2026,9
M2716,19-04-2025,8
M2540,11-12-2025,7
M3155,20-11-2025,18
M3145,04-06-2026,17
M2503,12-12-2025,10
M3003,25-08-2025,9
M2263,26-09-2025,7
M2163,15-06-2026,20
M3115,16-02-2026,7
M2708,31-10-2025,18
M2233,29-06-2026,19
M2358,04-08-2025,20
M3009,20-06-2026,20
M2344,15-02-2026,20
M2335,24-03-2026,18
M2045,12-09-2025,17
M2241,06-02-2026,8
M2534,14-03-2025,7
M3052,11-12-2025,17
M2316,19-10-2025,19
M2955,31-05-2026,8
M2100,13-12-2025,20
M2700,07-10-2025,18
M2973,22-03-2026,20
M2930,07-06-2026,19
M2116,15-03-2026,8
M2826,05-04-2026,8
M3111,26-06-2025,20
M3197,06-10-2025,9
M2042,17-06-2026,17
M3037,24-09-2025,17
M2037,10-02-2026,8
M2439,04-03-2026,7
M3175,05-06-2026,18
M2587,14-03-2025,19
M3162,02-04-2026,9
M2540,27-04-2025,9
M2613,29-08-2025,7
M2326,16-08-2025,8
M2140,27-06-2025,17
M2312,06-12-2025,10
M2023,23-07-2025,10
M2571,28-09-2025,8
M2886,14-06-2026,7
M2821,18-11-2025,7
M2246,31-05-2026,7
M3016,19-05-2025,8
M2450,05-09-2025,19
M2212,09-06-2025,19
M2466,12-05-2026,18
M2988,21-05-2026,18
M2242,29-06-2026,8
M3101,27-02-2026,20
M2530,05-04-2026,18
M2505,14-04-2026,18
M2446,21-06-2025,21
M2695,30-01-2026,21
M2732,10-02-2026,7
M2777,11-08-2025,20
M2538,11-11-2025,18
M3007,26-01-2026,20
M2974,07-10-2025,20
M2376,21-07-2025,19
M2549,17-04-2025,20
M2154,13-11-2025,18
M2852,12-02-2026,9
M2353,18-06-2026,18
M2715,31-05-2026,19
M2634,05-03-2025,19
M2737,10-01-2026,19
M3162,08-09-2025,7
M2421,17-03-2026,9
M3129,28-09-2025,18
M2296,29-01-2026,10
M2886,08-01-2025,8
M2071,27-02-2025,9
M2859,08-11-2025,19
M2750,05-04-2026,18
M2512,15-05-2026,17
M2644,28-04-2025,18
M2158,20-06-2026,9
M2184,21-05-2026,18
M3000,04-03-2026,19
M2256,31-03-2026,7
M2164,01-03-2026,20
M2639,16-09-2025,18
M2487,29-05-2025,19
M2322,26-12-2025,20
M2708,14-11-2025,8
M3058,20-09-2025,18
M2451,19-01-2026,9
M2415,04-03-2025,9
M2036,28-02-2026,20
M3050,12-03-2026,20
M2430,17-05-2026,8
M2925,21-10-2025,18
M2197,18-04-2025,19
M3111,13-11-2025,19
M2630,21-06-2026,19
M2950,22-08-2025,18
M2216,10-06-2026,20
M2605,24-03-2025,19
M2219,14-07-2025,8
M2878,20-01-2026,19
M2316,03-02-2026,8
M2817,13-12-2025,17
M2140,16-08-2025,9
M2440,19-02-2026,18
M2602,23-02-2026,21
M3142,23-11-2025,8
M2674,05-04-2026,6
M2900,07-11-2025,19
M2087,13-10-2025,7
M2674,28-03-2025,18
M2722,20-03-2025,8
M2497,06-02-2026,20
M2444,22-02-2026,7
M2844,18-06-2025,7
M3094,17-06-2026,18
M2061,12-07-2025,19
M3124,10-05-2025,18
M2958,23-01-2026,7
M2613,05-08-2025,20
M3027,12-03-2026,20
M2464,16-09-2025,19
M2552,16-06-2026,6
M2122,20-06-2026,9
M2171,01-02-2026,17
M2504,15-07-2025,18
M2748,26-04-2026,17
M2634,17-02-2026,8
M2787,16-02-2025,7
M2696,26-11-2025,9
M2291,23-06-2026,21
M2245,11-05-2026,9
